ANNO,CODICE_ATENEO,NOME_ATENEO,CITTA ,LATITUDINE (°) ,LATITUDINE (') ,LATITUDINE ('') ,LONGITUDINE (°) ,LONGITUDINE ('),LONGITUDINE (''),Sesso,LAUREATI
1999,101,Torino,Torino,45,3,58,7,40,56,M,2521
1999,102,Torino Politecnico,Torino ,45,3,58,7,40,56,M,1930
1999,103,Torino ISEF,Torino,45,3,58,7,40,56,M,47
1999,201,Piemonte Orientale,Vercelli,45,19,33,8,25,21,M,274
1999,1001,Genova,Genova,44,24,17,8,56,8,M,1912
1999,1201,Castellanza LIUC,Castellanza ,45,36,46,8,54,3,M,243
1999,1202,Insubria,Como,45,48,25,9,5,17,M,235
1999,1501,Milano,Milano,45,27,57,9,11,24,M,2789
1999,1502,Milano Politecnico,Milano ,45,27,57,9,11,24,M,3824
1999,1503,Milano Bocconi,Milano ,45,27,57,9,11,24,M,1085
1999,1504,Milano Cattolica,Milano ,45,27,57,9,11,24,M,1585
1999,1505,Milano IULM,Milano ,45,27,57,9,11,24,M,139
1999,1506,Milano ISEF,Milano ,45,27,57,9,11,24,M,25
1999,1507,Milano ISEF Lombardia,Milano ,45,27,57,9,11,24,M,54
1999,1509,Milano Bicocca,Milano ,45,27,57,9,11,24,M,227
1999,1601,Bergamo,Bergamo,45,42,1,9,40,8,M,297
1999,1701,Brescia,Brescia,45,32,27,10,13,14,M,600
1999,1801,Pavia,Pavia,45,11,13,9,9,17,M,1211
1999,2201,Trento,Trento,46,4,7,11,7,22,M,806
1999,2301,Verona,Verona,45,26,40,10,59,56,M,482
1999,2701,Venezia Cà Foscari,Venezia ,45,26,17,12,19,39,M,1038
1999,2702,Venezia Iuav,Venezia ,45,26,17,12,19,39,M,625
1999,2801,Padova,Padova,45,24,33,11,52,23,M,2933
1999,3001,Udine,Udine,46,3,57,13,14,15,M,493
1999,3201,Trieste,Trieste,45,38,58,13,46,20,M,918
1999,3401,Parma,Parma,44,48,6,10,19,44,M,1377
1999,3601,Modena e Reggio Emilia,Modena ,44,38,53,10,55,29,M,821
1999,3701,Bologna,Bologna,44,29,44,11,20,48,M,4170
1999,3702,Bologna ISEF,Bologna,44,29,44,11,20,48,M,85
1999,3801,Ferrara,Ferrara,44,50,31,11,37,0,M,519
1999,4101,Urbino,Urbino,43,43,36,12,38,11,M,764
1999,4102,Urbino ISEF,Urbino,43,43,36,12,38,11,M,91
1999,4201,Marche,Ancona,43,37,15,13,30,51,M,671
1999,4301,Macerata,Macerata,43,18,6,13,27,6,M,205
1999,4302,Camerino,Camerino,43,8,13,13,4,9,M,309
1999,4801,Firenze,Firenze,43,46,28,11,15,29,M,2255
1999,4802,Firenze ISEF,Firenze,43,46,28,11,15,29,M,54
1999,5001,Pisa,Pisa,43,42,51,10,24,1,M,1902
1999,5201,Siena,Siena,43,19,11,11,19,59,M,1016
1999,5202,Siena Stranieri,Siena ,43,19,11,11,19,59,M,0
1999,5401,Perugia,Perugia,43,6,49,12,23,23,M,1087
1999,5402,Perugia ISEF,Perugia,43,6,49,12,23,23,M,12
1999,5403,Perugia Stranieri,Perugia ,43,6,49,12,23,23,M,17
1999,5601,Tuscia,Viterbo,42,25,5,12,6,24,M,152
