NOME_ATENEO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aosta,0,0,0,0,11,30,74,70,114,118,127,161,168,157,224,193,183,189,256,225
Bari,5210,5337,5939,6442,6451,7434,8396,8534,8395,7941,7916,7725,7598,7841,7844,7657,7285,7523,7551,7560
Bari Politecnico,601,686,797,1060,1038,1272,1616,1789,1517,1514,1503,1456,1552,1619,1511,1683,1652,2057,1955,1912
Basilicata,266,283,398,467,571,751,854,932,956,827,803,936,981,911,1103,1014,851,841,867,922
Benevento Giustino Fortunato - telematica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287
Bergamo,663,616,671,828,1176,1696,2019,2139,2280,2308,2396,2447,2536,2538,2678,2943,2864,3005,3157,3528
Bologna,9532,10025,11089,12684,14904,17018,17923,16598,15851,15931,15549,15120,15315,15186,15847,16598,16748,17140,17906,18234
Bolzano,0,0,19,126,242,321,317,306,412,441,477,532,630,642,711,630,453,523,608,700
Bra - Scienze Gastronomiche,0,0,0,0,0,0,0,0,25,60,53,63,61,54,82,74,71,74,105,63
Brescia,1149,1309,1305,1542,1843,1992,2196,2205,2109,2244,2199,2226,2369,2415,2348,2279,2479,2508,2632,2504
Cagliari,2199,2631,3286,3643,4199,4794,4425,4348,4171,4090,4097,4089,4414,4810,4313,3998,3890,3901,3978,4034
Calabria,1500,1669,1875,2407,3383,4378,5323,5104,4657,4278,4290,4501,4784,4716,4615,4757,4482,4396,4481,4196
Camerino,553,612,741,768,961,985,1070,1069,1076,1078,1168,1064,1024,1118,1038,1052,1214,1078,1020,942
Casamassima - J.Monnet,0,0,0,4,30,114,312,528,376,200,281,212,220,217,253,260,328,265,264,337
Cassino,705,734,772,1162,1412,1254,1740,2053,1717,1663,1617,1540,1492,1585,1357,1332,1373,1411,1279,1436
Castellanza LIUC,315,411,401,513,445,635,682,593,583,557,533,513,544,518,530,501,535,615,593,740
Catania,3469,3408,3846,4374,4597,5464,6405,7156,7073,7331,8269,7225,7241,7674,7071,6975,6822,6452,6441,6160
Catanzaro,312,426,542,793,755,984,1373,2136,1911,2023,1755,1879,1603,1288,1218,1188,1082,1251,1549,1442
Chieti e Pescara,1894,1862,2115,3335,4158,5247,6219,6624,7579,6198,5177,4507,5269,5147,5411,5423,5340,5199,4971,4763
Enna - KORE,0,0,0,0,0,0,0,0,592,484,411,716,855,957,972,1015,1046,1094,1151,1140
Ferrara,1312,1470,1555,1821,1964,2426,2948,2760,2655,2741,2699,2698,2934,2477,2950,2894,2997,2846,2975,3079
Firenze,5234,5256,5395,6548,6374,7138,9115,9512,9395,9751,9774,9621,9596,9144,8250,8292,7918,8227,7886,8805
Firenze IUL - telematica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
Foggia,0,610,670,762,917,1080,1088,1299,1228,1582,1321,1586,1448,1394,1483,1451,1428,1520,1510,1624
Genova,4166,4321,4403,4607,5074,5581,5817,5873,5667,5707,5873,5791,5913,6142,6275,6235,5912,5964,5770,6026
Insubria,547,649,665,805,978,1338,1292,1513,1453,1400,1461,1574,1515,1679,1581,1498,1564,1494,1627,1754
L'Aquila,1006,1050,0,0,0,0,0,0,0,3260,3132,3252,3260,3154,3418,3310,3400,3724,3462,3014
Macerata,532,885,1021,1085,1202,1729,1996,2072,1998,1916,2032,1767,1858,1757,1769,1659,1680,1739,1972,1929
Marche,1160,1333,1504,1970,2156,2046,2571,2596,2482,2671,2792,2716,2867,3164,3040,2974,3086,2960,2977,3039
Messina,2676,2647,2867,3218,3640,4886,4540,4677,4872,4740,4564,4620,4630,4797,4823,4261,4314,4365,3685,3871
Milano,7203,6938,7088,7136,7406,8509,9487,9772,9652,9627,9311,9665,9626,10155,10455,10656,10866,11478,11435,11623
Milano Bicocca,579,812,1006,1439,2557,4078,4885,5153,5141,4985,5022,4732,5492,5383,5865,6400,6442,6676,6678,7060
Milano Bocconi,1860,1908,2144,2210,2468,4591,4422,3391,4063,4221,3672,4054,4085,4259,4198,4285,4378,4614,4500,4541
Milano Cattolica,4856,5039,5379,5989,6480,7419,9227,8023,8378,8136,8455,8527,8821,9121,9520,9513,9202,9330,9960,9834
Milano IULM,909,975,900,1228,1674,2331,2239,1517,1401,1362,1197,1154,1018,1057,979,1145,1133,1110,1262,1422
Milano Politecnico,5647,5375,5047,5208,8355,8748,9662,9125,8907,9000,8711,8298,9030,8955,9604,9992,10398,10507,11040,11703
Milano San Raffaele,0,0,60,132,148,231,263,382,441,542,504,546,556,533,474,508,444,494,529,584
Modena e Reggio Emilia,1646,1853,1887,2166,2586,3083,3369,3265,3261,3283,3200,3577,3641,3463,3617,3708,3827,4051,4222,4638
Molise,384,419,515,650,874,1121,1361,1367,1352,1363,1121,1237,1675,1219,1158,1153,1040,1079,1056,1010
Napoli Benincasa,627,526,683,824,1049,1382,1811,2046,2014,1851,1726,1780,1862,1902,1859,1832,1546,1526,1754,1742
Napoli Federico II,7531,7707,8429,9028,9124,10823,12065,13002,12045,12088,11836,12046,12219,12755,12521,12605,12769,12613,12867,13313
Napoli L'Orientale,699,680,836,845,1147,1325,1846,1823,1871,1670,1813,1742,1810,1734,1634,1648,1600,1633,1875,1827
Napoli Parthenope,628,643,811,903,1150,1630,2107,2252,2199,2041,2039,2156,2049,2014,2102,2534,2162,2193,2268,2205
Napoli Pegaso - telematica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6485
Napoli Vanvitelli,1091,1459,0,0,0,0,0,0,0,0,0,0,0,4508,4464,4463,4435,4730,4702,4401
Novedrate e-Campus - telematica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2176
Padova,6355,6753,7497,9058,10274,12316,12950,13111,12167,11757,11784,11610,11700,11821,11743,11989,11221,12251,12688,12613
Palermo,3986,3955,4539,5050,6015,6905,7413,8199,10130,8270,7341,7448,8078,7680,8864,7773,7688,7556,7238,7050
Parma,3088,3319,3330,3528,3642,4209,5103,5233,4756,4564,4542,4551,4714,5171,5344,5184,4788,4535,4584,4545
