NOME_ATENEO,Città,LATITUDINE (°) ,LATITUDINE (') ,LATITUDINE ('') ,LATITUDINE(DEC),LONGITUDINE (°) ,LONGITUDINE ('),LONGITUDINE (''),LONGITUDINE(DEC),LAUREATI
Aosta,Aosta,45,44,18,45.73833333,7,19,14,7.320555556,225
Bari,Bari,41,7,45,41.12916667,16,52,11,16.86972222,7560
Bari Politecnico,Bari ,41,7,45,41.12916667,16,52,11,16.86972222,1912
Basilicata,Potenza,40,38,20,40.63888889,15,48,12,15.80333333,922
Benevento Giustino Fortunato - telematica,Benevento ,41,7,55,41.13194444,14,46,40,14.77777778,287
Bergamo,Bergamo,45,42,1,45.70027778,9,40,8,9.668888889,3528
Bologna,Bologna,44,29,44,44.49555556,11,20,48,11.34666667,18234
Bolzano,Bolzano,46,29,56,46.49888889,11,21,15,11.35416667,700
Bra - Scienze Gastronomiche,Bra ,44,41,55,44.69861111,7,51,23,7.856388889,63
Brescia,Brescia,45,32,27,45.54083333,10,13,14,10.22055556,2504
Cagliari,Cagliari,39,13,7,39.21861111,9,7,4,9.117777778,4034
Calabria,Rende,39,20,0,39.33333333,16,10,56,16.18222222,4196
Camerino,Camerino,43,8,13,43.13694444,13,4,9,13.06916667,942
Casamassima - J.Monnet,Casamassima ,40,57,22,40.95611111,16,55,7,16.91861111,337
Cassino,Cassino,41,29,38,41.49388889,13,49,44,13.82888889,1436
Castellanza LIUC,Castellanza ,45,36,46,45.61277778,8,54,3,8.900833333,740
Catania,Catania,37,30,21,37.50583333,15,5,15,15.0875,6160
Catanzaro,Catanzaro,38,54,22,38.90611111,16,35,35,16.59305556,1442
Chieti e Pescara,Chieti ,42,21,7,42.35194444,14,10,5,14.16805556,4763
Enna - KORE,Enna ,37,34,4,37.56777778,14,16,33,14.27583333,1140
Ferrara,Ferrara,44,50,31,44.84194444,11,37,0,11.61666667,3079
Firenze,Firenze,43,46,28,43.77444444,11,15,29,11.25805556,8805
Firenze IUL - telematica,Firenze ,43,46,28,43.77444444,11,15,29,11.25805556,43
Foggia,Foggia,41,27,54,41.465,15,32,42,15.545,1624
Genova,Genova,44,24,17,44.40472222,8,56,8,8.935555556,6026
Insubria,Como,45,48,25,45.80694444,9,5,17,9.088055556,1754
L'Aquila,L'Aquila,42,21,9,42.3525,13,23,57,13.39916667,3014
Macerata,Macerata,43,18,6,43.30166667,13,27,6,13.45166667,1929
Marche,Ancona,43,37,15,43.62083333,13,30,51,13.51416667,3039
Messina,Messina,38,11,36,38.19333333,15,33,14,15.55388889,3871
Milano,Milano,45,27,57,45.46583333,9,11,24,9.19,11623
Milano Bicocca,Milano ,45,27,57,45.46583333,9,11,24,9.19,7060
Milano Bocconi,Milano ,45,27,57,45.46583333,9,11,24,9.19,4541
Milano Cattolica,Milano ,45,27,57,45.46583333,9,11,24,9.19,9834
